,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,-7499574.0,-4737186.0,0.0
Tax Rate For Calcs,0.208,0.261,0.339,0.298
Normalized EBITDA,356072000.0,325607000.0,285549000.0,252806000.0
Total Unusual Items,0.0,-28734000.0,-13974000.0,0.0
Total Unusual Items Excluding Goodwill,0.0,-28734000.0,-13974000.0,0.0
Net Income From Continuing Operation Net Minority Interest,30412000.0,26273000.0,41118000.0,38753000.0
Reconciled Depreciation,128986000.0,129012000.0,128404000.0,116548000.0
Reconciled Cost Of Revenue,860882000.0,2213289000.0,688149000.0,254645000.0
EBITDA,356072000.0,296873000.0,271575000.0,252806000.0
EBIT,227086000.0,167861000.0,143171000.0,136258000.0
Net Interest Income,-66995000.0,-59539000.0,-80814000.0,-89430000.0
Interest Expense,66995000.0,59539000.0,80814000.0,89430000.0
Normalized Income,30412000.0,47507426.0,50354814.0,38753000.0
Net Income From Continuing And Discontinued Operation,30412000.0,26273000.0,41118000.0,38753000.0
Total Expenses,948358000.0,2279388000.0,735237000.0,297587000.0
Total Operating Income As Reported,210605000.0,186685000.0,139344000.0,133256000.0
Diluted Average Shares,26256104.0,26262107.0,24377778.0,23854167.0
Basic Average Shares,26256104.0,26254167.0,24377778.0,23854167.0
Diluted EPS,1.11,0.51,0.0,0.0
Basic EPS,1.16,0.51,0.0,0.0
Diluted NI Availto Com Stockholders,30412000.0,13323000.0,0.0,0.0
Net Income Common Stockholders,30412000.0,13323000.0,0.0,0.0
Otherunder Preferred Stock Dividend,0.0,12950000.0,41118000.0,38753000.0
Net Income,30412000.0,26273000.0,41118000.0,38753000.0
Minority Interests,-96432000.0,-53723000.0,-71000.0,5862000.0
Net Income Including Noncontrolling Interests,126844000.0,79996000.0,41189000.0,32891000.0
Net Income Continuous Operations,126844000.0,79996000.0,41189000.0,32891000.0
Tax Provision,33247000.0,28326000.0,21168000.0,13937000.0
Pretax Income,160091000.0,108322000.0,62357000.0,46828000.0
Other Income Expense,16481000.0,-25724000.0,-10147000.0,3002000.0
Other Non Operating Income Expenses,15598000.0,312000.0,564000.0,-92000.0
Special Income Charges,0.0,-28734000.0,-13974000.0,0.0
Other Special Charges,,21834000.0,,
Restructuring And Mergern Acquisition,0.0,6900000.0,13974000.0,0.0
Earnings From Equity Interest,883000.0,2698000.0,3263000.0,3094000.0
Net Non Operating Interest Income Expense,-66995000.0,-59539000.0,-80814000.0,-89430000.0
Interest Expense Non Operating,66995000.0,59539000.0,80814000.0,89430000.0
Operating Income,210605000.0,193585000.0,153318000.0,133256000.0
Operating Expense,87476000.0,66099000.0,47088000.0,42942000.0
Depreciation Amortization Depletion Income Statement,114323000.0,97313000.0,104908000.0,104167000.0
Depreciation And Amortization In Income Statement,114323000.0,97313000.0,104908000.0,104167000.0
Selling General And Administration,87476000.0,66099000.0,47088000.0,42942000.0
Gross Profit,298081000.0,259684000.0,200406000.0,176198000.0
Cost Of Revenue,860882000.0,2213289000.0,688149000.0,254645000.0
Total Revenue,1158963000.0,2472973000.0,888555000.0,430843000.0
Operating Revenue,1158963000.0,2472973000.0,888555000.0,430843000.0
