,2024-10-31,2023-10-31,2022-10-31,2021-10-31,2020-10-31
Free Cash Flow,27862295.0,60996154.0,-5229778.0,264735713.0,
Repurchase Of Capital Stock,,,,-122960986.0,
Repayment Of Debt,-5000000.0,-35000000.0,-41000000.0,-273000000.0,
Issuance Of Debt,28000000.0,12000000.0,54000000.0,170000000.0,
Issuance Of Capital Stock,1478790.0,,14094787.0,684006.0,
End Cash Position,10320028.0,5048917.0,7956098.0,15429643.0,
Beginning Cash Position,5048917.0,7956098.0,15429643.0,5618049.0,
Changes In Cash,5271111.0,-2907181.0,-7473545.0,9811594.0,
Financing Cash Flow,-22591184.0,-63903335.0,-2243767.0,-254924119.0,
Net Other Financing Charges,0.0,0.0,0.0,0.0,
Cash Dividends Paid,-46977474.0,-40808335.0,-29238554.0,-29519639.0,
Preferred Stock Dividend Paid,-6514189.0,-5915217.0,-1212363.0,-100127.0,
Common Stock Dividend Paid,-40463285.0,-34893118.0,-28026191.0,-29419512.0,
Net Common Stock Issuance,1478790.0,,14094787.0,-122276980.0,
Common Stock Payments,,,,-122960986.0,
Common Stock Issuance,1478790.0,,14094787.0,684006.0,
Net Issuance Payments Of Debt,23000000.0,-23000000.0,13000000.0,-103000000.0,
Net Long Term Debt Issuance,23000000.0,-23000000.0,13000000.0,-103000000.0,
Long Term Debt Payments,-5000000.0,-35000000.0,-41000000.0,-273000000.0,
Long Term Debt Issuance,28000000.0,12000000.0,54000000.0,170000000.0,
Operating Cash Flow,27862295.0,60996154.0,-5229778.0,264735713.0,
Change In Working Capital,161279.0,755838.0,-1655161.0,1105268.0,
Change In Other Current Liabilities,538485.0,-453315.0,-1170482.0,271226.0,
Change In Other Current Assets,-33313.0,-140810.0,,,
Change In Accrued Expense,-991420.0,1259759.0,294007.0,-8183.0,
Change In Payable,177160.0,295020.0,317065.0,-144788.0,
Change In Prepaid Assets,8479.0,,1932.0,24510.0,27868.0
Change In Receivables,461888.0,-204816.0,-1097683.0,962503.0,
Other Non Cash Items,-2190971.0,-2011471.0,-1485232.0,-1337489.0,
Gain Loss On Investment Securities,-21778888.0,7351953.0,27386750.0,207392422.0,
Net Income From Continuing Operations,51670875.0,54899834.0,-29476135.0,57575512.0,
