,2024-10-31,2023-10-31,2022-10-31,2021-10-31,2020-10-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.21,0.21,0.0,0.27,
Net Income From Continuing Operation Net Minority Interest,51670875.0,54899834.0,-29476135.0,57575512.0,
Net Interest Income,47087188.0,45906804.0,31308377.0,31122361.0,
Interest Expense,7972760.0,7258251.0,3182386.0,2289377.0,
Interest Income,55059948.0,53165055.0,34490763.0,33411738.0,
Normalized Income,51670875.0,54899834.0,-29476135.0,57575512.0,
Net Income From Continuing And Discontinued Operation,51670875.0,54899834.0,-29476135.0,57575512.0,
Diluted Average Shares,,29044560.0,30269513.0,35369564.0,38530965.0
Basic Average Shares,,29044560.0,30269513.0,35369564.0,38530965.0
Diluted EPS,,1.686,-1.017,1.625,-0.086
Basic EPS,,1.686,-1.017,1.625,-0.086
Diluted NI Availto Com Stockholders,45134637.0,48969128.0,-30784095.0,57475542.0,
Net Income Common Stockholders,45134637.0,48969128.0,-30784095.0,57475542.0,
Preferred Stock Dividends,6536238.0,5930706.0,1307960.0,99970.0,
Net Income,51670875.0,54899834.0,-29476135.0,57575512.0,
Net Income Including Noncontrolling Interests,51670875.0,54899834.0,-29476135.0,57575512.0,
Net Income Continuous Operations,51670875.0,54899834.0,-29476135.0,57575512.0,
Pretax Income,51670875.0,54899834.0,-29476135.0,57575512.0,
Gain On Sale Of Security,-13393780.0,-13436173.0,1094831.0,-6797138.0,
Operating Expense,607327.0,755828.0,784074.0,953999.0,
Other Operating Expenses,5599.0,3852.0,15267.0,22308.0,
Selling General And Administration,601728.0,751976.0,768807.0,931691.0,
General And Administrative Expense,601728.0,751976.0,768807.0,931691.0,
Total Revenue,52278202.0,55655662.0,-28692061.0,58529511.0,
Operating Revenue,52278202.0,55655662.0,-28692061.0,58529511.0,
