,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,261682000.0,214710000.0,158075000.0,133255000.0
Repurchase Of Capital Stock,0.0,-32923000.0,-60589000.0,-15347000.0
Repayment Of Debt,-26290000.0,-79744000.0,-57143000.0,-90382000.0
Issuance Of Debt,,0.0,59925000.0,102148000.0
Issuance Of Capital Stock,0.0,0.0,71988000.0,0.0
Capital Expenditure,-6556000.0,-1930000.0,-2500000.0,-2259000.0
Interest Paid Supplemental Data,195392000.0,40736000.0,23957000.0,35423000.0
Income Tax Paid Supplemental Data,50117000.0,46009000.0,56845000.0,7514000.0
End Cash Position,433029000.0,291359000.0,2021689000.0,537703000.0
Beginning Cash Position,291359000.0,2021689000.0,537703000.0,167256000.0
Changes In Cash,141670000.0,-1730330000.0,1483986000.0,370447000.0
Financing Cash Flow,1181214000.0,-563186000.0,1346525000.0,937762000.0
Cash Flow From Continuing Financing Activities,1181214000.0,-563186000.0,1346525000.0,937762000.0
Net Other Financing Charges,1401000.0,1773000.0,516000.0,78000.0
Proceeds From Stock Option Exercised,,,,78000.0
Cash Dividends Paid,-41118000.0,-37643000.0,-26153000.0,-19795000.0
Preferred Stock Dividend Paid,-3750000.0,-4041000.0,0.0,0.0
Common Stock Dividend Paid,-37368000.0,-33602000.0,-26153000.0,-19795000.0
Net Preferred Stock Issuance,0.0,0.0,71988000.0,0.0
Preferred Stock Issuance,0.0,0.0,71988000.0,0.0
Net Common Stock Issuance,0.0,-32923000.0,-60589000.0,-15347000.0
Common Stock Payments,0.0,-32923000.0,-60589000.0,-15347000.0
Net Issuance Payments Of Debt,-126290000.0,20256000.0,-157218000.0,-160534000.0
Net Short Term Debt Issuance,-100000000.0,100000000.0,-160000000.0,-172300000.0
Net Long Term Debt Issuance,-26290000.0,-79744000.0,2782000.0,11766000.0
Long Term Debt Payments,-26290000.0,-79744000.0,-57143000.0,-90382000.0
Long Term Debt Issuance,,0.0,59925000.0,102148000.0
Investing Cash Flow,-1307782000.0,-1383784000.0,-23114000.0,-702829000.0
Cash Flow From Continuing Investing Activities,-1307782000.0,-1383784000.0,-23114000.0,-702829000.0
Net Other Investing Changes,6114000.0,4850000.0,15733000.0,5871000.0
Net Investment Purchase And Sale,-114396000.0,-665726000.0,-387444000.0,-68459000.0
Sale Of Investment,375512000.0,263811000.0,401601000.0,434503000.0
Purchase Of Investment,-489908000.0,-929537000.0,-789045000.0,-502962000.0
Net Business Purchase And Sale,0.0,0.0,212642000.0,62114000.0
Sale Of Business,0.0,0.0,212642000.0,62114000.0
Net PPE Purchase And Sale,-6199000.0,-231000.0,-2500000.0,-2259000.0
Sale Of PPE,357000.0,1699000.0,0.0,0.0
Purchase Of PPE,-6556000.0,-1930000.0,-2500000.0,-2259000.0
Operating Cash Flow,268238000.0,216640000.0,160575000.0,135514000.0
Cash Flow From Continuing Operating Activities,268238000.0,216640000.0,160575000.0,135514000.0
Change In Working Capital,8714000.0,-19980000.0,-17262000.0,876000.0
Change In Other Working Capital,,-19980000.0,-17262000.0,876000.0
Other Non Cash Items,4563000.0,5903000.0,2123000.0,-12914000.0
Stock Based Compensation,10146000.0,8006000.0,6017000.0,4178000.0
Asset Impairment Charge,0.0,0.0,3441000.0,0.0
Amortization Of Securities,3998000.0,5639000.0,7343000.0,6745000.0
Deferred Tax,1476000.0,688000.0,-1675000.0,-14594000.0
Deferred Income Tax,1476000.0,688000.0,-1675000.0,-14594000.0
Depreciation Amortization Depletion,11339000.0,14006000.0,14148000.0,11862000.0
Depreciation And Amortization,11339000.0,14006000.0,14148000.0,11862000.0
Amortization Cash Flow,6249000.0,8433000.0,8001000.0,5710000.0
Amortization Of Intangibles,6249000.0,8433000.0,8001000.0,5710000.0
Depreciation,5090000.0,5573000.0,6147000.0,6152000.0
Operating Gains Losses,-2662000.0,-54000.0,,-421000.0
Gain Loss On Investment Securities,-601000.0,0.0,0.0,-421000.0
Gain Loss On Sale Of PPE,-46000.0,-54000.0,0.0,0.0
Net Income From Continuing Operations,194059000.0,203043000.0,133055000.0,74384000.0
