,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.21,0.0,0.0,0.27
Net Income From Continuing Operation Net Minority Interest,1630373.0,-7965406.0,-462645.0,1335965.0
Net Interest Income,1633854.0,1598937.0,1773268.0,2125642.0
Interest Expense,196145.0,278345.0,7831.0,54640.0
Interest Income,1829999.0,1877282.0,1781099.0,2180282.0
Normalized Income,1630373.0,-7965406.0,-462645.0,1335965.0
Net Income From Continuing And Discontinued Operation,1630373.0,-7965406.0,-462645.0,1335965.0
Diluted Average Shares,,4170370.0,4205864.0,4309565.0
Basic Average Shares,,4170370.0,4205864.0,4309565.0
Diluted EPS,,-1.91,-0.11,0.31
Basic EPS,,-1.91,-0.11,0.31
Diluted NI Availto Com Stockholders,1630373.0,-7965406.0,-462645.0,1335965.0
Net Income Common Stockholders,1630373.0,-7965406.0,-462645.0,1335965.0
Net Income,1630373.0,-7965406.0,-462645.0,1335965.0
Net Income Including Noncontrolling Interests,1630373.0,-7965406.0,-462645.0,1335965.0
Net Income Continuous Operations,1630373.0,-7965406.0,-462645.0,1335965.0
Pretax Income,1630373.0,-7965406.0,-462645.0,1335965.0
Gain On Sale Of Security,-3602664.0,372525.0,466214.0,-2346987.0
Operating Expense,49604.0,-22987.0,-3612.0,-43815.0
Other Operating Expenses,-116513.0,-159342.0,-183632.0,-199711.0
Selling General And Administration,166117.0,136355.0,180020.0,155896.0
General And Administrative Expense,166117.0,136355.0,180020.0,155896.0
Total Revenue,1679977.0,-7988393.0,-466257.0,1292150.0
Operating Revenue,1679977.0,-7988393.0,-466257.0,1292150.0
