,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,4553000000.0,3695000000.0,3833000000.0,2874000000.0
Repurchase Of Capital Stock,0.0,-61000000.0,-225000000.0,-200000000.0
Issuance Of Debt,300000000.0,0.0,1177000000.0,1289000000.0
Issuance Of Capital Stock,1445000000.0,0.0,0.0,
Interest Paid Supplemental Data,130000000.0,98000000.0,62000000.0,28000000.0
Income Tax Paid Supplemental Data,196000000.0,171000000.0,98000000.0,170000000.0
End Cash Position,1437000000.0,1398000000.0,1441000000.0,802000000.0
Beginning Cash Position,1398000000.0,1441000000.0,802000000.0,808000000.0
Effect Of Exchange Rate Changes,-23000000.0,39000000.0,1000000.0,3000000.0
Changes In Cash,60000000.0,-82000000.0,638000000.0,-9000000.0
Financing Cash Flow,1409000000.0,-359000000.0,674000000.0,800000000.0
Cash Flow From Continuing Financing Activities,1410000000.0,-359000000.0,674000000.0,799000000.0
Net Other Financing Charges,-25000000.0,-26000000.0,-17000000.0,-26000000.0
Proceeds From Stock Option Exercised,-23000000.0,-17000000.0,-14000000.0,-14000000.0
Cash Dividends Paid,-288000000.0,-255000000.0,-247000000.0,-249000000.0
Common Stock Dividend Paid,-288000000.0,-255000000.0,-247000000.0,-249000000.0
Net Common Stock Issuance,1445000000.0,-61000000.0,-225000000.0,-200000000.0
Common Stock Payments,0.0,-61000000.0,-225000000.0,-200000000.0
Common Stock Issuance,1445000000.0,0.0,0.0,
Net Issuance Payments Of Debt,300000000.0,0.0,1177000000.0,1289000000.0
Net Long Term Debt Issuance,300000000.0,,1177000000.0,1289000000.0
Long Term Debt Issuance,300000000.0,0.0,1177000000.0,1289000000.0
Investing Cash Flow,-5902000000.0,-3418000000.0,-3869000000.0,-3683000000.0
Cash Flow From Continuing Investing Activities,-5902000000.0,-3418000000.0,-3870000000.0,-3683000000.0
Net Other Investing Changes,-721000000.0,-1618000000.0,-959000000.0,-362000000.0
Dividends Received Cfi,245000000.0,266000000.0,257000000.0,310000000.0
Net Investment Purchase And Sale,-5426000000.0,-2066000000.0,-3167000000.0,-3631000000.0
Sale Of Investment,6390000000.0,6434000000.0,6799000000.0,4913000000.0
Purchase Of Investment,-11816000000.0,-8500000000.0,-9966000000.0,-8544000000.0
Operating Cash Flow,4553000000.0,3695000000.0,3833000000.0,2874000000.0
Cash Flow From Continuing Operating Activities,4553000000.0,3696000000.0,3832000000.0,2873000000.0
Dividend Received Cfo,120000000.0,180000000.0,211000000.0,122000000.0
Change In Working Capital,1655000000.0,2364000000.0,2381000000.0,2416000000.0
Change In Other Working Capital,-1066000000.0,-572000000.0,-837000000.0,37000000.0
Change In Other Current Assets,,,-612569000.0,-103772000.0
Change In Payables And Accrued Expense,18000000.0,201000000.0,186000000.0,-24000000.0
Change In Payable,18000000.0,201000000.0,186000000.0,-24000000.0
Change In Account Payable,18000000.0,201000000.0,186000000.0,-24000000.0
Change In Prepaid Assets,-112000000.0,-363000000.0,-279000000.0,-164000000.0
Change In Receivables,-921000000.0,-848000000.0,-774000000.0,-538000000.0
Changes In Account Receivables,-921000000.0,-848000000.0,-774000000.0,-538000000.0
Other Non Cash Items,,-1000000.0,1000000.0,1000000.0
Stock Based Compensation,49000000.0,45000000.0,43000000.0,39000000.0
Amortization Of Securities,-64000000.0,55000000.0,76000000.0,50000000.0
Operating Gains Losses,276000000.0,455000000.0,-258000000.0,-268000000.0
Gain Loss On Investment Securities,276000000.0,455000000.0,-258000000.0,-268000000.0
Net Income From Continuing Operations,2517000000.0,597000000.0,1379000000.0,514000000.0
