Date,Adj Close,Close,High,Low,Open,Volume
1994-04-18,2.1596858501434326,19.25,19.625,19.25,19.625,21100
1994-04-19,2.1596858501434326,19.25,19.25,19.0,19.25,47600
1994-04-20,2.1456620693206787,19.125,19.125,19.0,19.0,11600
1994-04-21,2.1316370964050293,19.0,19.125,19.0,19.125,16300
1994-04-22,2.1316370964050293,19.0,19.125,19.0,19.0,13400
1994-04-25,2.1456620693206787,19.125,19.125,19.0,19.0,21700
1994-04-26,2.1316370964050293,19.0,19.125,19.0,19.0,22500
1994-04-28,2.1316370964050293,19.0,19.125,19.0,19.125,15300
1994-04-29,2.1316370964050293,19.0,19.125,19.0,19.0,15300
1994-05-02,2.1316370964050293,19.0,19.125,19.0,19.0,12900
1994-05-03,2.1316370964050293,19.0,19.125,19.0,19.125,42800
1994-05-04,2.1316370964050293,19.0,19.125,19.0,19.125,6400
1994-05-05,2.1456620693206787,19.125,19.125,19.0,19.0,13900
1994-05-06,2.1316370964050293,19.0,19.125,19.0,19.0,56200
1994-05-09,2.117614269256592,18.875,19.0,18.5,19.0,53100
1994-05-10,2.1035897731781006,18.75,18.875,18.75,18.875,1100
1994-05-11,2.1035897731781006,18.75,18.75,18.75,18.75,1000
1994-05-12,2.0334692001342773,18.125,18.625,18.125,18.5,4300
1994-05-13,1.9913983345031736,17.75,18.0,17.125,18.0,61400
1994-05-16,2.019446849822998,18.0,18.5,17.875,17.875,11400
1994-05-17,2.047493934631348,18.25,18.375,18.0,18.25,5200
1994-05-18,2.0755414962768555,18.5,18.5,18.25,18.25,3900
1994-05-19,2.0615170001983643,18.375,18.5,18.375,18.5,4900
1994-05-20,2.0755414962768555,18.5,18.5,18.0,18.25,16600
1994-05-23,2.0755414962768555,18.5,18.5,18.25,18.5,2400
1994-05-24,2.0334692001342773,18.125,18.375,18.0,18.25,5300
1994-05-25,2.019446849822998,18.0,18.375,18.0,18.125,4800
1994-05-26,2.0334692001342773,18.125,18.375,18.125,18.25,9000
1994-05-27,2.019446849822998,18.0,18.125,18.0,18.125,13200
1994-05-31,2.0334692001342773,18.125,18.125,18.0,18.0,18300
1994-06-01,2.0334692001342773,18.125,18.375,18.0,18.125,5700
1994-06-02,2.0755414962768555,18.5,18.5,18.125,18.375,5300
1994-06-03,2.0755414962768555,18.5,18.5,18.25,18.25,6800
1994-06-06,2.0755414962768555,18.5,18.875,18.375,18.375,5000
1994-06-07,2.005422592163086,17.875,18.5,17.875,18.5,8800
1994-06-08,2.089566707611084,18.625,18.625,18.125,18.125,3100
1994-06-09,2.1035897731781006,18.75,18.75,18.375,18.625,7200
1994-06-10,2.089566707611084,18.625,19.0,18.5,18.5,8300
1994-06-13,2.0755414962768555,18.5,18.625,18.5,18.625,3000
1994-06-14,2.0615170001983643,18.375,18.375,18.25,18.375,10000
1994-06-15,2.047493934631348,18.25,18.375,18.125,18.375,5000
1994-06-16,2.089566707611084,18.625,18.625,18.25,18.375,3900
1994-06-17,2.0755414962768555,18.5,18.625,18.375,18.375,8400
1994-06-20,2.0985398292541504,18.25,18.25,18.0,18.25,12800
1994-06-21,2.0985398292541504,18.25,18.25,18.25,18.25,6900
1994-06-22,2.1416611671447754,18.625,18.75,18.25,18.25,3700
1994-06-23,2.184779644012451,19.0,19.125,18.625,18.625,4500
1994-06-24,2.156033992767334,18.75,19.25,18.625,19.25,10800
1994-06-27,2.0985398292541504,18.25,18.75,18.25,18.75,6600
1994-06-28,2.156033992767334,18.75,18.75,18.125,18.125,4700
1994-06-29,2.1272857189178467,18.5,18.5,18.375,18.5,2000
1994-06-30,2.0985398292541504,18.25,18.625,18.0,18.5,5500
1994-07-01,2.0985398292541504,18.25,18.25,18.25,18.25,30100
1994-07-05,2.084165096282959,18.125,18.25,18.125,18.125,900
1994-07-06,2.084165096282959,18.125,18.125,18.125,18.125,0
1994-07-07,2.084165096282959,18.125,18.375,17.875,18.375,31200
1994-07-08,2.041045904159546,17.75,18.0,17.75,17.875,2600
1994-07-11,2.084165096282959,18.125,18.125,17.75,18.0,2200
1994-07-12,2.0985398292541504,18.25,18.25,18.0,18.0,10600
1994-07-13,2.0985398292541504,18.25,18.25,18.0,18.0,8200
1994-07-14,2.0985398292541504,18.25,18.25,17.875,18.0,1500
1994-07-15,2.0697929859161377,18.0,18.125,17.875,18.125,2700
1994-07-18,2.055419445037842,17.875,18.0,17.625,17.75,2100
1994-07-19,2.055419445037842,17.875,17.875,17.875,17.875,1500
1994-07-20,2.041045904159546,17.75,18.0,17.5,18.0,3900
1994-07-21,1.997924566268921,17.375,17.75,17.375,17.75,1700
1994-07-22,1.997924566268921,17.375,17.375,17.25,17.25,4500
1994-07-25,1.9548048973083496,17.0,17.375,17.0,17.375,2800
1994-07-26,1.9404300451278689,16.875,17.0,16.625,17.0,3300
1994-07-27,1.9260568618774412,16.75,16.875,16.25,16.875,16400
1994-07-28,1.9260568618774412,16.75,16.75,16.5,16.75,7100
1994-07-29,1.8829364776611328,16.375,16.75,16.25,16.75,26300
1994-08-01,1.969177722930908,17.125,17.125,16.375,16.375,13100
1994-08-02,1.9548048973083496,17.0,17.125,16.625,17.125,7100
1994-08-03,2.0122976303100586,17.5,17.5,17.25,17.25,4900
1994-08-04,1.98355233669281,17.25,17.5,17.25,17.5,5500
1994-08-05,2.041045904159546,17.75,17.875,17.5,17.5,8200
1994-08-08,2.0697929859161377,18.0,18.0,17.75,17.75,700
1994-08-09,2.026671886444092,17.625,17.875,17.375,17.75,7200
1994-08-10,2.026671886444092,17.625,17.875,17.625,17.875,3500
1994-08-11,2.055419445037842,17.875,17.875,17.625,17.75,3200
1994-08-12,2.055419445037842,17.875,17.875,17.75,17.875,2100
1994-08-15,2.026671886444092,17.625,17.875,17.625,17.75,3600
1994-08-16,2.041045904159546,17.75,18.0,17.625,17.875,5100
1994-08-17,2.041045904159546,17.75,18.0,17.75,17.75,18000
1994-08-18,2.026671886444092,17.625,17.875,17.625,17.625,2000
1994-08-19,2.041045904159546,17.75,17.75,17.75,17.75,2000
1994-08-22,2.0122976303100586,17.5,17.75,17.5,17.75,4400
1994-08-23,2.026671886444092,17.625,17.625,17.375,17.5,6400
1994-08-24,1.9548048973083496,17.0,17.375,17.0,17.375,7500
1994-08-25,1.9404300451278689,16.875,17.375,16.875,17.25,3500
1994-08-26,1.98355233669281,17.25,17.375,17.125,17.125,1100
1994-08-29,1.98355233669281,17.25,17.5,17.25,17.5,5600
1994-08-30,1.997924566268921,17.375,17.375,17.0,17.0,52800
1994-08-31,1.98355233669281,17.25,17.25,16.875,17.0,15400
1994-09-01,2.0122976303100586,17.5,17.5,17.25,17.375,3300
1994-09-02,2.041045904159546,17.75,17.875,17.625,17.625,4100
1994-09-06,2.0122976303100586,17.5,17.875,17.5,17.875,7400
1994-09-07,2.041045904159546,17.75,17.75,17.5,17.625,6800
1994-09-08,2.041045904159546,17.75,17.75,17.5,17.75,5700
1994-09-09,2.041045904159546,17.75,17.75,17.625,17.625,5900
1994-09-12,2.026671886444092,17.625,17.625,17.5,17.625,10500
1994-09-13,1.9548048973083496,17.0,17.5,17.0,17.5,29400
1994-09-14,1.98355233669281,17.25,17.25,17.25,17.25,1500
1994-09-15,2.0122976303100586,17.5,17.5,17.25,17.375,4400
1994-09-16,1.9548048973083496,17.0,17.5,17.0,17.5,34000
1994-09-19,1.9548048973083496,17.0,17.0,16.875,17.0,3700
1994-09-20,1.9548048973083496,17.0,17.0,16.75,17.0,6800
1994-09-21,1.9548048973083496,17.0,17.0,16.875,17.0,4400
1994-09-22,1.9404300451278689,16.875,17.0,16.75,17.0,8800
1994-09-23,1.9548048973083496,17.0,17.125,16.875,17.0,8200
1994-09-26,1.948898673057556,16.5,16.875,16.5,16.75,3900
1994-09-27,1.9784269332885744,16.75,16.75,16.5,16.5,15200
1994-09-28,1.948898673057556,16.5,16.875,16.5,16.75,8900
1994-09-29,1.93413507938385,16.375,16.625,16.375,16.625,600
1994-09-30,1.93413507938385,16.375,16.375,16.125,16.125,5200
1994-10-03,1.93413507938385,16.375,16.375,16.25,16.375,57900
1994-10-04,1.93413507938385,16.375,16.375,16.125,16.375,2400
1994-10-05,1.8898398876190183,16.0,16.375,15.625,16.375,18300
1994-10-06,1.9193695783615112,16.25,16.25,16.0,16.0,18500
1994-10-07,1.904605865478516,16.125,16.25,15.75,16.25,9000
1994-10-10,1.8750768899917605,15.875,16.125,15.875,16.125,3100
1994-10-11,1.8898398876190183,16.0,16.0,15.75,15.75,3300
1994-10-12,1.904605865478516,16.125,16.125,16.0,16.125,9400
1994-10-13,1.9193695783615112,16.25,16.25,16.0,16.25,7300
1994-10-14,1.9193695783615112,16.25,16.25,16.125,16.125,9000
1994-10-17,1.93413507938385,16.375,16.375,16.25,16.25,5000
1994-10-18,1.93413507938385,16.375,16.375,16.25,16.25,6300
1994-10-19,1.904605865478516,16.125,16.25,16.0,16.125,10200
1994-10-20,1.8750768899917605,15.875,16.125,15.875,16.0,7500
1994-10-21,1.8898398876190183,16.0,16.0,15.875,15.875,5600
1994-10-24,1.8603124618530276,15.75,16.0,15.75,15.75,1800
1994-10-25,1.8750768899917605,15.875,15.875,15.625,15.875,3100
1994-10-26,1.8750768899917605,15.875,15.875,15.75,15.875,1400
1994-10-27,1.8750768899917605,15.875,15.875,15.5,15.625,2100
1994-10-28,1.8307832479476929,15.5,15.875,15.5,15.625,5200
1994-10-31,1.8455476760864256,15.625,15.875,15.5,15.5,1100
1994-11-01,1.8898398876190183,16.0,16.0,15.625,15.625,4100
1994-11-02,1.8898398876190183,16.0,16.0,15.875,16.0,2500
1994-11-03,1.8898398876190183,16.0,16.0,15.875,16.0,4300
1994-11-04,1.8898398876190183,16.0,16.125,15.875,15.875,23900
1994-11-07,1.8898398876190183,16.0,16.125,16.0,16.0,2000
1994-11-08,1.8750768899917605,15.875,16.25,15.875,16.25,4500
1994-11-09,1.8898398876190183,16.0,16.125,15.875,15.875,6000
1994-11-10,1.8750768899917605,15.875,16.125,15.875,16.125,1800
1994-11-11,1.8898398876190183,16.0,16.125,15.75,16.125,4800
1994-11-14,1.8898398876190183,16.0,16.125,15.875,16.125,4000
1994-11-15,1.904605865478516,16.125,16.125,15.875,16.125,6100
1994-11-16,1.8750768899917605,15.875,16.125,15.75,16.125,12600
1994-11-17,1.8898398876190183,16.0,16.125,15.875,16.125,6900
1994-11-18,1.8603124618530276,15.75,16.125,15.75,16.125,6000
1994-11-21,1.8750768899917605,15.875,16.0,15.625,15.875,13200
1994-11-22,1.8455476760864256,15.625,15.875,15.625,15.875,8600
1994-11-23,1.8603124618530276,15.75,15.75,15.5,15.625,9600
1994-11-25,1.8750768899917605,15.875,15.875,15.875,15.875,1000
1994-11-28,1.8898398876190183,16.0,16.0,15.75,15.75,7700
1994-11-29,1.8898398876190183,16.0,16.125,16.0,16.0,5800
1994-11-30,1.8898398876190183,16.0,16.125,16.0,16.125,2300
1994-12-01,1.904605865478516,16.125,16.125,16.0,16.125,5200
1994-12-02,1.904605865478516,16.125,16.125,15.875,16.125,3500
1994-12-05,1.8898398876190183,16.0,16.125,16.0,16.125,12700
1994-12-06,1.8750768899917605,15.875,16.125,15.75,16.125,6300
1994-12-07,1.8603124618530276,15.75,16.0,15.625,16.0,5700
1994-12-08,1.8898398876190183,16.0,16.0,15.625,15.875,2600
1994-12-09,1.904605865478516,16.125,16.125,15.875,16.0,5000
1994-12-12,1.8898398876190183,16.0,16.125,16.0,16.125,2000
1994-12-13,1.8603124618530276,15.75,16.0,15.75,15.875,4900
1994-12-14,1.8603124618530276,15.75,15.875,15.625,15.625,3700
1994-12-15,1.8603124618530276,15.75,15.875,15.625,15.875,7500
1994-12-16,1.8455476760864256,15.625,15.875,15.5,15.625,10500
