Date,Adj Close,Close,High,Low,Open,Volume
1984-06-21,0.6121858358383179,1.78125,1.84375,1.78125,0.0,626400
1984-06-22,0.6121858358383179,1.78125,1.8125,1.78125,0.0,229600
1984-06-25,0.6014456748962402,1.75,1.8125,1.75,0.0,102400
1984-06-26,0.5907055139541626,1.71875,1.75,1.71875,0.0,129600
1984-06-27,0.6014456748962402,1.75,1.78125,1.75,0.0,213600
1984-06-28,0.6014456748962402,1.75,1.78125,1.75,0.0,212000
1984-06-29,0.622925877571106,1.8125,1.875,1.8125,0.0,208000
1984-07-02,0.622925877571106,1.8125,1.875,1.8125,0.0,144800
1984-07-03,0.622925877571106,1.8125,1.875,1.8125,0.0,48000
1984-07-05,0.6336658000946045,1.84375,1.90625,1.84375,0.0,108000
1984-07-06,0.6336658000946045,1.84375,1.90625,1.84375,0.0,2400
1984-07-09,0.6336658000946045,1.84375,1.875,1.84375,0.0,76800
1984-07-10,0.6336658000946045,1.84375,1.90625,1.84375,0.0,89600
1984-07-11,0.6336658000946045,1.84375,1.90625,1.84375,0.0,82400
1984-07-12,0.622925877571106,1.8125,1.875,1.8125,0.0,58400
1984-07-13,0.622925877571106,1.8125,1.875,1.8125,0.0,323200
1984-07-16,0.622925877571106,1.8125,1.875,1.8125,0.0,32000
1984-07-17,0.622925877571106,1.8125,1.875,1.8125,0.0,334400
1984-07-18,0.622925877571106,1.8125,1.875,1.8125,0.0,420800
1984-07-19,0.622925877571106,1.8125,1.875,1.8125,0.0,404000
1984-07-20,0.622925877571106,1.8125,1.875,1.8125,0.0,53600
1984-07-23,0.6336658000946045,1.84375,1.90625,1.84375,0.0,153600
1984-07-24,0.6444060802459717,1.875,1.96875,1.875,0.0,82400
1984-07-25,0.6444060802459717,1.875,1.96875,1.875,0.0,2400
1984-07-26,0.6766261458396912,1.96875,2.03125,1.96875,0.0,147200
1984-07-27,0.6981066465377808,2.03125,2.125,2.03125,0.0,128000
1984-07-30,0.6981066465377808,2.03125,2.125,2.03125,0.0,153600
1984-07-31,0.6981066465377808,2.03125,2.125,2.03125,0.0,131200
1984-08-01,0.6981066465377808,2.03125,2.125,2.03125,0.0,124000
1984-08-02,0.7195867300033569,2.09375,2.15625,2.09375,0.0,103200
1984-08-03,0.7303268909454346,2.125,2.21875,2.125,0.0,72000
1984-08-06,0.7410668134689331,2.15625,2.25,2.15625,0.0,52000
