Date,Adj Close,Close,High,Low,Open,Volume
1973-05-04,2.002577304840088,3.625,3.8125,3.625,3.625,1600
1973-05-07,2.002577304840088,3.625,3.8125,3.625,3.625,1600
1973-05-08,2.037104845046997,3.6875,3.875,3.6875,3.6875,1600
1973-05-09,2.037104845046997,3.6875,3.875,3.6875,3.6875,6000
1973-05-10,2.037104845046997,3.6875,3.875,3.6875,3.6875,2000
1973-05-11,2.037104845046997,3.6875,3.875,3.6875,3.6875,1200
1973-05-14,2.037104845046997,3.6875,3.8125,3.6875,3.6875,6000
1973-05-15,2.037104845046997,3.6875,3.875,3.6875,3.6875,1600
1973-05-16,2.071631908416748,3.75,3.9375,3.75,3.75,708800
1973-05-17,2.2442684173583984,4.0625,4.25,4.0625,4.0625,6000
1973-05-18,2.037104845046997,3.6875,3.875,3.6875,3.875,6800
1973-05-21,1.9680503606796265,3.5625,3.75,3.5625,3.6875,9200
1973-05-22,2.002577304840088,3.625,3.8125,3.625,3.625,3200
1973-05-23,2.071631908416748,3.75,3.9375,3.75,3.75,2800
1973-05-24,2.140686273574829,3.875,4.0625,3.875,3.875,8000
1973-05-25,2.2442684173583984,4.0625,4.25,4.0625,4.0625,3200
1973-05-29,2.2442684173583984,4.0625,4.25,4.0625,4.0625,7200
1973-05-30,2.209740400314331,4.0,4.1875,4.0,4.0625,4400
1973-05-31,2.209740400314331,4.0,4.1875,4.0,4.0,400
1973-06-01,2.175213098526001,3.9375,4.125,3.9375,4.0,9200
1973-06-04,2.037104845046997,3.6875,3.9375,3.6875,3.9375,6400
1973-06-05,2.071631908416748,3.75,3.9375,3.75,3.75,2800
1973-06-06,2.037104845046997,3.6875,3.875,3.6875,3.75,2800
1973-06-07,2.037104845046997,3.6875,3.875,3.6875,3.6875,3200
1973-06-08,2.1061596870422363,3.8125,4.0,3.8125,3.8125,3600
1973-06-11,2.071631908416748,3.75,3.9375,3.75,3.8125,7600
1973-06-12,2.071631908416748,3.75,3.9375,3.75,3.75,5200
1973-06-13,2.071631908416748,3.75,3.9375,3.75,3.75,5600
1973-06-14,2.071631908416748,3.75,3.9375,3.75,3.75,400
1973-06-15,2.071631908416748,3.75,3.9375,3.75,3.75,7200
1973-06-18,2.071631908416748,3.75,3.9375,3.75,3.75,14800
1973-06-19,2.037104845046997,3.6875,3.875,3.6875,3.75,3200
1973-06-20,2.037104845046997,3.6875,3.875,3.6875,3.6875,2000
1973-06-21,2.002577304840088,3.625,3.8125,3.625,3.6875,4000
1973-06-22,1.933522343635559,3.5,3.6875,3.5,3.625,13600
1973-06-25,1.933522343635559,3.5,3.6875,3.5,3.5,1600
1973-06-26,1.933522343635559,3.5,3.6875,3.5,3.5,2400
1973-06-27,1.933522343635559,3.5,3.6875,3.5,3.5,1200
1973-06-28,1.933522343635559,3.5,3.6875,3.5,3.5,2000
1973-06-29,1.8299401998519895,3.3125,3.5,3.3125,3.5,10800
1973-07-02,1.8299401998519895,3.3125,3.5,3.3125,3.3125,84800
1973-07-03,1.8644686937332156,3.375,3.5625,3.375,3.375,4800
1973-07-05,1.8644686937332156,3.375,3.5625,3.375,3.375,400
1973-07-06,1.8644686937332156,3.375,3.5625,3.375,3.375,14400
1973-07-09,1.8644686937332156,3.375,3.5625,3.375,3.375,26000
1973-07-10,1.8989955186843872,3.4375,3.625,3.4375,3.4375,2400
1973-07-11,2.002577304840088,3.625,3.8125,3.625,3.625,7200
1973-07-12,1.933522343635559,3.5,3.6875,3.5,3.625,7200
1973-07-13,1.933522343635559,3.5,3.6875,3.5,3.5,4400
1973-07-16,1.933522343635559,3.5,3.6875,3.5,3.5,400
1973-07-17,1.933522343635559,3.5,3.6875,3.5,3.5,400
1973-07-18,1.933522343635559,3.5,3.6875,3.5,3.5,6400
1973-07-19,2.037104845046997,3.6875,3.875,3.6875,3.6875,2800
1973-07-20,2.071631908416748,3.75,3.9375,3.75,3.75,6800
1973-07-23,2.071631908416748,3.75,3.9375,3.75,3.75,2800
1973-07-24,2.037104845046997,3.6875,3.875,3.6875,3.75,4000
1973-07-25,2.140686273574829,3.875,4.0625,3.875,3.875,5200
1973-07-26,2.140686273574829,3.875,4.0625,3.875,3.875,400
1973-07-27,2.1061596870422363,3.8125,4.0,3.8125,3.875,9600
1973-07-30,2.1061596870422363,3.8125,4.0,3.8125,3.8125,9200
1973-07-31,2.1061596870422363,3.8125,4.0,3.8125,3.8125,400
1973-08-01,2.071631908416748,3.75,3.9375,3.75,3.8125,400
1973-08-02,2.037104845046997,3.6875,3.875,3.6875,3.75,1600
1973-08-03,2.037104845046997,3.6875,3.875,3.6875,3.6875,400
1973-08-06,2.002577304840088,3.625,3.8125,3.625,3.6875,7200
1973-08-07,2.037104845046997,3.6875,3.875,3.6875,3.6875,400
1973-08-08,2.002577304840088,3.625,3.8125,3.625,3.6875,1600
1973-08-09,2.002577304840088,3.625,3.8125,3.625,3.625,1200
1973-08-10,1.9680503606796265,3.5625,3.75,3.5625,3.625,5200
1973-08-13,1.9680503606796265,3.5625,3.75,3.5625,3.5625,1200
1973-08-14,2.002577304840088,3.625,3.8125,3.625,3.625,3200
1973-08-15,2.002577304840088,3.625,3.8125,3.625,3.625,2400
1973-08-16,2.002577304840088,3.625,3.8125,3.625,3.625,800
1973-08-17,2.037104845046997,3.6875,3.875,3.6875,3.6875,12000
1973-08-20,2.037104845046997,3.6875,3.875,3.6875,3.6875,12400
1973-08-21,2.071631908416748,3.75,3.9375,3.75,3.75,7600
1973-08-22,2.1061596870422363,3.8125,4.0,3.8125,3.8125,3200
1973-08-23,2.140686273574829,3.875,4.0625,3.875,3.875,800
1973-08-24,2.1061596870422363,3.8125,4.0,3.8125,3.875,2400
1973-08-27,2.1061596870422363,3.8125,4.0,3.8125,3.8125,8400
1973-08-28,2.1061596870422363,3.8125,4.0,3.8125,3.8125,7600
1973-08-29,2.1061596870422363,3.8125,4.0,3.8125,3.8125,2800
1973-08-30,2.1061596870422363,3.8125,4.0,3.8125,3.8125,4800
1973-08-31,2.1061596870422363,3.8125,4.0,3.8125,3.8125,5200
1973-09-04,2.071631908416748,3.75,3.9375,3.75,3.8125,2000
1973-09-05,2.1061596870422363,3.8125,4.0,3.8125,3.8125,8400
1973-09-06,2.071631908416748,3.75,3.9375,3.75,3.8125,3200
1973-09-07,2.1061596870422363,3.8125,4.0,3.8125,3.8125,400
1973-09-10,2.1061596870422363,3.8125,4.0,3.8125,3.8125,5200
1973-09-11,2.1061596870422363,3.8125,4.0,3.8125,3.8125,800
1973-09-12,2.1061596870422363,3.8125,4.0,3.8125,3.8125,8400
1973-09-13,2.071631908416748,3.75,3.9375,3.75,3.8125,2800
1973-09-14,2.071631908416748,3.75,3.9375,3.75,3.75,400
1973-09-17,2.071631908416748,3.75,3.9375,3.75,3.75,2800
1973-09-18,2.037104845046997,3.6875,3.875,3.6875,3.75,11600
1973-09-19,2.002577304840088,3.625,3.8125,3.625,3.6875,5600
1973-09-20,2.002577304840088,3.625,3.8125,3.625,3.625,7600
1973-09-21,2.002577304840088,3.625,3.8125,3.625,3.625,4800
1973-09-24,1.9680503606796265,3.5625,3.75,3.5625,3.625,2400
1973-09-25,1.9680503606796265,3.5625,3.75,3.5625,3.5625,2400
1973-09-26,1.9680503606796265,3.5625,3.75,3.5625,3.5625,7200
1973-09-27,1.933522343635559,3.5,3.6875,3.5,3.5625,8800
1973-09-28,1.8989955186843872,3.4375,3.625,3.4375,3.5,102000
1973-10-01,1.933522343635559,3.5,3.6875,3.5,3.5,1200
1973-10-02,1.9680503606796265,3.5625,3.75,3.5625,3.5625,17600
1973-10-03,1.9680503606796265,3.5625,3.75,3.5625,3.5625,16800
1973-10-04,1.9680503606796265,3.5625,3.75,3.5625,3.5625,5200
1973-10-05,1.933522343635559,3.5,3.6875,3.5,3.5625,13600
1973-10-08,1.8989955186843872,3.4375,3.625,3.4375,3.5,800
1973-10-09,1.8989955186843872,3.4375,3.625,3.4375,3.4375,4400
1973-10-10,1.8989955186843872,3.4375,3.625,3.4375,3.4375,11600
1973-10-11,1.933522343635559,3.5,3.6875,3.5,3.5,2000
1973-10-12,1.933522343635559,3.5,3.6875,3.5,3.5,2000
1973-10-15,1.8989955186843872,3.4375,3.625,3.4375,3.5,800
1973-10-16,1.8644686937332156,3.375,3.5625,3.375,3.4375,4000
1973-10-17,1.933522343635559,3.5,3.6875,3.5,3.5,48000
1973-10-18,1.933522343635559,3.5,3.6875,3.5,3.5,800
1973-10-19,1.933522343635559,3.5,3.6875,3.5,3.5,5600
1973-10-22,1.8989955186843872,3.4375,3.625,3.4375,3.5,8400
1973-10-23,1.8989955186843872,3.4375,3.625,3.4375,3.4375,3600
1973-10-24,1.933522343635559,3.5,3.6875,3.5,3.5,26000
1973-10-25,1.933522343635559,3.5,3.6875,3.5,3.5,800
1973-10-26,1.933522343635559,3.5,3.6875,3.5,3.5,13200
1973-10-29,1.8989955186843872,3.4375,3.625,3.4375,3.4375,2000
1973-10-30,1.8644686937332156,3.375,3.5625,3.375,3.4375,1600
1973-10-31,1.8644686937332156,3.375,3.5625,3.375,3.375,4000
1973-11-01,1.8644686937332156,3.375,3.5625,3.375,3.375,800
1973-11-02,1.8644686937332156,3.375,3.375,3.375,3.375,0
1973-11-05,1.7954139709472656,3.25,3.4375,3.25,3.375,3600
1973-11-06,1.7954139709472656,3.25,3.4375,3.25,3.25,1200
1973-11-07,1.8644686937332156,3.375,3.5625,3.375,3.375,4800
1973-11-08,1.8989955186843872,3.4375,3.625,3.4375,3.4375,7600
1973-11-09,1.933522343635559,3.5,3.6875,3.5,3.5,9200
1973-11-12,1.8989955186843872,3.4375,3.625,3.4375,3.5,2800
1973-11-13,1.8644686937332156,3.375,3.5625,3.375,3.4375,3200
1973-11-14,1.8299401998519895,3.3125,3.5,3.3125,3.375,18000
1973-11-15,1.8299401998519895,3.3125,3.5,3.3125,3.3125,8800
1973-11-16,1.7954139709472656,3.25,3.4375,3.25,3.3125,11200
1973-11-19,1.8299401998519895,3.3125,3.5,3.3125,3.3125,2400
1973-11-20,1.8299401998519895,3.3125,3.5,3.3125,3.3125,9200
1973-11-21,1.8299401998519895,3.3125,3.5,3.3125,3.3125,5200
1973-11-23,1.8299401998519895,3.3125,3.5,3.3125,3.3125,800
1973-11-26,1.7954139709472656,3.25,3.4375,3.25,3.3125,4400
1973-11-27,1.7954139709472656,3.25,3.4375,3.25,3.25,3200
1973-11-28,1.7608866691589355,3.1875,3.375,3.1875,3.25,6000
1973-11-29,1.7263596057891846,3.125,3.3125,3.125,3.1875,2000
1973-11-30,1.6918330192565918,3.0625,3.25,3.0625,3.125,3600
1973-12-03,1.6918330192565918,3.0625,3.25,3.0625,3.0625,2400
1973-12-04,1.6227781772613523,2.9375,3.125,2.9375,3.0625,14000
1973-12-05,1.6227781772613523,2.9375,3.125,2.9375,2.9375,10800
1973-12-06,1.6227781772613523,2.9375,3.125,2.9375,2.9375,400
1973-12-07,1.6918330192565918,3.0625,3.25,3.0625,3.0625,17200
1973-12-10,1.7263596057891846,3.125,3.3125,3.125,3.125,3600
1973-12-11,1.6918330192565918,3.0625,3.25,3.0625,3.125,6800
1973-12-12,1.6573052406311035,3.0,3.1875,3.0,3.0625,2400
1973-12-13,1.6573052406311035,3.0,3.1875,3.0,3.0,5200
1973-12-14,1.6573052406311035,3.0,3.1875,3.0,3.0,7200
1973-12-17,1.6573052406311035,3.0,3.1875,3.0,3.0,6800
1973-12-18,1.6573052406311035,3.0,3.1875,3.0,3.0,800
1973-12-19,1.6573052406311035,3.0,3.1875,3.0,3.0,6000
1973-12-20,1.6918330192565918,3.0625,3.25,3.0625,3.0625,5600
1973-12-21,1.7608866691589355,3.1875,3.375,3.1875,3.1875,9200
1973-12-24,1.7954139709472656,3.25,3.4375,3.25,3.25,400
1973-12-26,1.7954139709472656,3.25,3.4375,3.25,3.25,4400
1973-12-27,1.8299401998519895,3.3125,3.5,3.3125,3.3125,10000
1973-12-28,1.8299401998519895,3.3125,3.5,3.3125,3.3125,7200
1973-12-31,1.8644686937332156,3.375,3.5625,3.375,3.375,4400
1974-01-02,1.8644686937332156,3.375,3.5625,3.375,3.375,400
1974-01-03,2.037104845046997,3.6875,3.875,3.6875,3.6875,21200
1974-01-04,2.002577304840088,3.625,3.8125,3.625,3.6875,10400
1974-01-07,1.933522343635559,3.5,3.6875,3.5,3.625,800
1974-01-08,1.8644686937332156,3.375,3.5625,3.375,3.5,8000
1974-01-09,1.7954139709472656,3.25,3.4375,3.25,3.375,6000
1974-01-10,1.7608866691589355,3.1875,3.375,3.1875,3.25,12000
1974-01-11,1.7263596057891846,3.125,3.3125,3.125,3.1875,12800
1974-01-14,1.6918330192565918,3.0625,3.25,3.0625,3.125,2800
1974-01-15,1.6918330192565918,3.0625,3.25,3.0625,3.0625,2000
1974-01-16,1.6918330192565918,3.0625,3.25,3.0625,3.0625,2000
1974-01-17,1.7263596057891846,3.125,3.3125,3.125,3.125,3600
1974-01-18,1.6918330192565918,3.0625,3.25,3.0625,3.125,3200
1974-01-21,1.6918330192565918,3.0625,3.25,3.0625,3.0625,400
1974-01-22,1.6918330192565918,3.0625,3.25,3.0625,3.0625,400
1974-01-23,1.6573052406311035,3.0,3.1875,3.0,3.0625,2400
1974-01-24,1.6918330192565918,3.0625,3.25,3.0625,3.0625,8000
1974-01-25,1.7263596057891846,3.125,3.3125,3.125,3.125,400
1974-01-28,1.6918330192565918,3.0625,3.25,3.0625,3.125,3600
1974-01-29,1.6918330192565918,3.0625,3.25,3.0625,3.0625,4000
1974-01-30,1.6918330192565918,3.0625,3.25,3.0625,3.0625,15200
1974-01-31,1.7263596057891846,3.125,3.3125,3.125,3.125,5200
1974-02-01,1.7263596057891846,3.125,3.3125,3.125,3.125,2800
1974-02-04,1.6918330192565918,3.0625,3.25,3.0625,3.125,2800
1974-02-05,1.6573052406311035,3.0,3.1875,3.0,3.0625,3200
1974-02-06,1.6573052406311035,3.0,3.1875,3.0,3.0,3200
1974-02-07,1.6573052406311035,3.0,3.1875,3.0,3.0,1200
1974-02-08,1.6918330192565918,3.0625,3.25,3.0625,3.0625,8800
1974-02-11,1.8299401998519895,3.3125,3.5,3.3125,3.3125,7200
1974-02-12,1.8299401998519895,3.3125,3.5,3.3125,3.3125,400
1974-02-13,1.8299401998519895,3.3125,3.5,3.3125,3.3125,400
1974-02-14,1.8299401998519895,3.3125,3.5,3.3125,3.3125,2800
1974-02-15,1.8299401998519895,3.3125,3.5,3.3125,3.3125,800
1974-02-19,1.7954139709472656,3.25,3.4375,3.25,3.3125,24000
1974-02-20,1.8299401998519895,3.3125,3.5,3.3125,3.3125,4000
1974-02-21,1.8299401998519895,3.3125,3.5,3.3125,3.3125,4400
1974-02-22,1.8299401998519895,3.3125,3.5,3.3125,3.3125,6400
1974-02-25,1.8299401998519895,3.3125,3.4375,3.3125,3.3125,400
1974-02-26,1.8644686937332156,3.375,3.5625,3.375,3.375,3200
1974-02-27,1.8644686937332156,3.375,3.5625,3.375,3.375,800
1974-02-28,1.8644686937332156,3.375,3.5625,3.375,3.375,400
1974-03-01,1.8299401998519895,3.3125,3.5,3.3125,3.375,5200
