Date,Adj Close,Close,High,Low,Open,Volume
1985-12-16,3.322495460510254,9.125,9.5,9.0,9.375,191700
1985-12-17,3.0039007663726807,8.25,9.0,8.25,9.0,126900
1985-12-18,3.0039007663726807,8.25,8.5,7.875,8.25,143100
1985-12-19,3.0949270725250244,8.5,8.5,8.25,8.25,62500
1985-12-20,3.0039007663726807,8.25,8.5,8.25,8.5,39400
1985-12-23,3.185954332351685,8.75,9.0,8.25,8.25,84200
1985-12-24,3.6866047382354736,10.125,10.375,8.875,8.875,145900
1985-12-26,4.323794364929199,11.875,12.25,10.125,10.125,210200
1985-12-27,4.09622859954834,11.25,12.25,10.75,11.875,60100
1985-12-30,3.91417407989502,10.75,11.0,10.5,11.0,31500
1985-12-31,3.91417407989502,10.75,10.75,10.5,10.75,12000
1986-01-02,3.91417407989502,10.75,10.75,10.5,10.75,24400
1986-01-03,3.7321174144744873,10.25,10.5,10.0,10.5,25500
1986-01-06,3.6866047382354736,10.125,10.25,9.5,10.25,16800
1986-01-07,3.823144912719727,10.5,10.75,10.0,10.125,24000
1986-01-08,3.777631282806397,10.375,11.0,10.375,10.5,13600
1986-01-09,3.504549741744995,9.625,10.125,9.625,10.125,9500
1986-01-10,3.595577955245972,9.875,10.25,9.75,9.75,13500
1986-01-13,3.595577955245972,9.875,10.125,9.625,9.875,7500
1986-01-14,3.6866047382354736,10.125,10.125,9.875,9.875,30100
1986-01-15,4.0507121086120605,11.125,11.125,10.25,10.25,31600
1986-01-16,4.187254905700684,11.5,11.75,11.25,11.25,39200
1986-01-17,4.09622859954834,11.25,11.25,11.0,11.25,10600
1986-01-20,4.09622859954834,11.25,11.25,11.0,11.25,13000
1986-01-21,4.0052008628845215,11.0,11.25,10.875,11.25,21300
1986-01-22,4.09622859954834,11.25,11.25,11.0,11.0,26000
1986-01-23,4.187254905700684,11.5,11.5,11.125,11.25,26800
1986-01-24,4.141740798950195,11.375,11.5,11.25,11.5,27300
1986-01-27,4.232769012451172,11.625,11.75,11.25,11.375,6000
1986-01-28,3.91417407989502,10.75,11.75,10.75,11.625,17200
1986-01-29,3.91417407989502,10.75,11.125,10.75,10.75,4600
1986-01-30,3.959685802459717,10.875,11.0,10.5,10.75,9900
1986-01-31,3.777631282806397,10.375,10.75,10.375,10.75,2300
1986-02-03,3.823144912719727,10.5,10.625,10.375,10.375,11900
1986-02-04,3.823144912719727,10.5,10.625,10.375,10.5,5700
1986-02-05,3.823144912719727,10.5,10.5,10.375,10.5,4600
1986-02-06,3.595577955245972,9.875,10.5,9.875,10.5,4700
1986-02-07,3.595577955245972,9.875,10.125,9.75,9.875,1300
1986-02-10,3.641089677810669,10.0,10.125,9.75,9.875,2600
1986-02-11,3.641089677810669,10.0,10.125,9.75,10.0,5900
1986-02-12,3.7321174144744873,10.25,10.375,9.875,10.0,33000
1986-02-13,4.278282165527344,11.75,11.75,10.875,10.875,48000
1986-02-14,4.369307994842529,12.0,12.75,11.5,11.75,83900
1986-02-18,4.323794364929199,11.875,12.0,11.25,12.0,12200
1986-02-19,4.278282165527344,11.75,12.0,11.25,11.875,21900
1986-02-20,4.09622859954834,11.25,11.75,11.25,11.75,13500
1986-02-21,4.187254905700684,11.5,11.75,11.25,11.25,8700
1986-02-24,4.278282165527344,11.75,11.75,11.25,11.5,10700
1986-02-25,4.141740798950195,11.375,11.75,11.375,11.75,6300
1986-02-26,4.369307994842529,12.0,12.0,11.375,11.375,3300
1986-02-27,4.278282165527344,11.75,12.0,11.75,12.0,7000
1986-02-28,4.369307994842529,12.0,12.0,11.75,11.75,1800
1986-03-03,4.369307994842529,12.0,12.0,11.5,12.0,6000
1986-03-04,4.187254905700684,11.5,12.0,11.5,12.0,4000
1986-03-05,4.0052008628845215,11.0,11.75,11.0,11.5,1500
1986-03-06,3.777631282806397,10.375,11.25,10.375,11.0,13600
1986-03-07,3.823144912719727,10.5,10.75,10.0,10.375,10200
1986-03-10,3.823144912719727,10.5,10.5,10.0,10.5,11800
1986-03-11,3.823144912719727,10.5,10.5,10.0,10.5,12000
1986-03-12,3.823144912719727,10.5,10.5,10.25,10.5,600
1986-03-13,3.6866047382354736,10.125,10.25,9.75,10.25,7000
1986-03-14,3.7321174144744873,10.25,10.25,9.875,10.125,3700
1986-03-17,3.641089677810669,10.0,10.25,9.75,10.25,12100
1986-03-18,3.595577955245972,9.875,10.0,9.75,10.0,6600
1986-03-19,3.5500648021698,9.75,10.0,9.75,9.875,3300
1986-03-20,3.7321174144744873,10.25,10.25,9.75,9.75,13300
1986-03-21,3.7321174144744873,10.25,10.25,9.75,10.25,3600
1986-03-24,3.641089677810669,10.0,10.0,10.0,10.0,200
1986-03-25,3.7321174144744873,10.25,10.25,9.75,10.0,13300
1986-03-26,3.641089677810669,10.0,10.25,9.75,10.25,3400
1986-03-27,3.7321174144744873,10.25,10.25,10.0,10.0,4700
1986-03-31,3.7321174144744873,10.25,10.25,9.75,10.25,1600
1986-04-01,3.641089677810669,10.0,10.25,9.75,10.25,2800
1986-04-02,3.7321174144744873,10.25,10.25,9.875,10.0,38600
1986-04-03,3.5500648021698,9.75,10.25,9.5,10.25,4100
1986-04-04,3.7321174144744873,10.25,10.25,9.75,9.75,2300
1986-04-07,3.7321174144744873,10.25,10.25,9.75,10.25,12700
1986-04-08,3.5500648021698,9.75,10.25,9.75,10.25,4800
1986-04-09,3.641089677810669,10.0,10.0,9.5,9.75,5500
1986-04-10,3.459035873413086,9.5,9.5,9.5,9.5,800
1986-04-11,3.641089677810669,10.0,10.0,10.0,10.0,500
1986-04-14,3.641089677810669,10.0,10.5,9.75,10.0,17800
1986-04-15,3.7321174144744873,10.25,10.75,10.25,10.25,4500
1986-04-16,4.0052008628845215,11.0,11.0,10.25,10.25,7900
1986-04-17,4.0052008628845215,11.0,11.0,10.5,11.0,7100
1986-04-18,4.278282165527344,11.75,12.5,11.0,11.0,22600
1986-04-21,4.278282165527344,11.75,12.25,11.5,11.75,1800
1986-04-22,4.187254905700684,11.5,12.25,11.5,11.75,20600
1986-04-23,4.09622859954834,11.25,11.875,11.25,11.5,7000
1986-04-24,4.278282165527344,11.75,11.75,11.0,11.25,4900
1986-04-25,4.0052008628845215,11.0,11.0,11.0,11.0,1500
1986-04-28,4.187254905700684,11.5,11.5,10.75,11.0,2700
1986-04-29,4.09622859954834,11.25,11.25,11.0,11.25,2200
1986-04-30,3.641089677810669,10.0,11.0,10.0,11.0,7700
1986-05-01,3.91417407989502,10.75,10.75,10.0,10.0,2800
1986-05-02,3.823144912719727,10.5,10.75,10.25,10.75,11800
1986-05-05,3.823144912719727,10.5,10.5,10.5,10.5,900
1986-05-06,3.7321174144744873,10.25,10.25,10.25,10.25,1200
1986-05-07,3.823144912719727,10.5,10.5,10.25,10.25,2000
1986-05-08,3.7321174144744873,10.25,10.5,10.25,10.5,3900
1986-05-09,3.823144912719727,10.5,10.5,10.25,10.25,3400
1986-05-12,3.823144912719727,10.5,10.5,9.75,10.5,4900
1986-05-13,3.823144912719727,10.5,10.5,9.5,10.5,4800
1986-05-14,3.459035873413086,9.5,10.25,9.5,10.25,3900
1986-05-15,3.459035873413086,9.5,10.0,9.5,9.5,700
1986-05-16,3.459035873413086,9.5,10.0,9.5,9.5,2000
1986-05-19,3.641089677810669,10.0,10.0,9.5,9.5,20200
1986-05-20,3.459035873413086,9.5,10.0,9.5,10.0,7700
1986-05-21,3.459035873413086,9.5,10.0,9.5,9.5,1500
1986-05-22,3.823144912719727,10.5,10.5,9.75,9.75,4000
1986-05-23,3.5500648021698,9.75,9.75,9.75,9.75,2600
1986-05-27,3.7321174144744873,10.25,10.25,10.25,10.25,500
1986-05-28,3.5500648021698,9.75,10.25,9.5,10.25,3200
1986-05-29,3.7321174144744873,10.25,10.75,10.0,10.0,13300
1986-05-30,4.278282165527344,11.75,13.75,11.0,11.0,43700
1986-06-02,4.09622859954834,11.25,12.75,11.25,11.75,3000
1986-06-03,4.278282165527344,11.75,12.0,11.25,11.25,4600
1986-06-04,4.232769012451172,11.625,12.0,11.25,11.75,12200
1986-06-05,4.369307994842529,12.0,12.0,11.0,11.625,12700
1986-06-06,4.460336208343506,12.25,12.25,11.5,12.0,12100
1986-06-09,4.369307994842529,12.0,12.5,11.5,12.25,21000
1986-06-10,4.187254905700684,11.5,11.75,11.25,11.75,5100
1986-06-11,4.369307994842529,12.0,12.0,11.5,11.5,2600
1986-06-12,4.187254905700684,11.5,12.0,11.5,12.0,3200
1986-06-13,4.369307994842529,12.0,12.0,11.5,11.5,2300
1986-06-16,4.187254905700684,11.5,11.5,11.5,11.5,1200
1986-06-17,4.187254905700684,11.5,12.25,11.5,11.5,4600
1986-06-18,4.0052008628845215,11.0,11.75,11.0,11.5,9300
1986-06-19,4.0052008628845215,11.0,11.5,11.0,11.0,2700
1986-06-20,4.0507121086120605,11.125,11.5,11.0,11.0,12000
1986-06-23,4.0052008628845215,11.0,11.5,11.0,11.125,5300
1986-06-24,4.0052008628845215,11.0,11.5,11.0,11.0,17300
1986-06-25,4.0052008628845215,11.0,11.0,11.0,11.0,1500
1986-06-26,4.0052008628845215,11.0,11.0,11.0,11.0,200
1986-06-27,4.0052008628845215,11.0,11.25,11.0,11.0,5200
1986-06-30,4.187254905700684,11.5,11.5,11.0,11.0,5500
1986-07-01,4.0052008628845215,11.0,11.5,11.0,11.5,2100
1986-07-02,4.0052008628845215,11.0,11.0,11.0,11.0,3100
1986-07-03,3.823144912719727,10.5,11.0,10.5,11.0,5300
1986-07-07,3.641089677810669,10.0,10.5,10.0,10.5,4200
1986-07-08,3.823144912719727,10.5,10.5,9.5,10.0,4200
1986-07-09,3.823144912719727,10.5,10.5,10.5,10.5,0
1986-07-10,3.641089677810669,10.0,10.0,9.5,10.0,600
1986-07-11,3.641089677810669,10.0,10.0,10.0,10.0,0
1986-07-14,3.641089677810669,10.0,10.0,10.0,10.0,0
1986-07-15,3.641089677810669,10.0,10.0,10.0,10.0,0
1986-07-16,3.7321174144744873,10.25,10.25,10.25,10.25,400
1986-07-17,3.276981830596924,9.0,10.25,9.0,10.25,2100
1986-07-18,3.276981830596924,9.0,9.375,9.0,9.0,22400
1986-07-21,3.276981830596924,9.0,9.0,9.0,9.0,2400
1986-07-22,3.459035873413086,9.5,9.625,9.0,9.0,3100
1986-07-23,3.368010997772217,9.25,9.25,9.25,9.25,100
1986-07-24,3.185954332351685,8.75,9.0,8.0,9.0,4500
1986-07-25,3.276981830596924,9.0,9.0,8.0,8.75,5900
1986-07-28,3.276981830596924,9.0,9.0,9.0,9.0,0
1986-07-29,3.0949270725250244,8.5,8.5,8.0,8.5,3400
1986-07-30,3.0949270725250244,8.5,8.5,8.0,8.5,1500
1986-07-31,3.0949270725250244,8.5,8.5,8.0,8.5,3200
1986-08-01,3.459035873413086,9.5,9.5,9.5,9.5,900
1986-08-04,3.185954332351685,8.75,8.75,8.0,8.75,2500
1986-08-05,3.276981830596924,9.0,9.5,8.0,8.75,2000
1986-08-06,3.459035873413086,9.5,9.5,9.5,9.5,1200
1986-08-07,2.912872552871704,8.0,8.0,8.0,8.0,900
1986-08-08,2.912872552871704,8.0,8.0,8.0,8.0,0
1986-08-11,2.912872552871704,8.0,9.0,8.0,8.0,4100
1986-08-12,2.912872552871704,8.0,8.75,8.0,8.0,1600
1986-08-13,2.912872552871704,8.0,8.5,8.0,8.0,4000
1986-08-14,2.7308189868927,7.5,8.0,7.0,8.0,3700
1986-08-15,2.912872552871704,8.0,8.0,7.0,7.5,3800
1986-08-18,2.7308189868927,7.5,7.5,7.5,7.5,1800
1986-08-19,2.7308189868927,7.5,7.5,7.0,7.5,2800
1986-08-20,2.6397910118103027,7.25,7.75,7.0,7.5,2000
1986-08-21,2.6397910118103027,7.25,7.75,7.0,7.25,1600
1986-08-22,2.5487632751464844,7.0,7.0,7.0,7.0,1200
1986-08-25,2.912872552871704,8.0,8.0,7.0,7.0,10200
1986-08-26,2.7308189868927,7.5,7.5,7.0,7.5,900
1986-08-27,2.6397910118103027,7.25,7.25,7.0,7.25,1100
1986-08-28,2.6397910118103027,7.25,7.75,7.0,7.25,2300
1986-08-29,2.6397910118103027,7.25,7.25,7.25,7.25,0
1986-09-02,2.5487632751464844,7.0,7.0,7.0,7.0,300
1986-09-03,2.685304641723633,7.375,7.375,6.0,7.0,312900
1986-09-04,2.5487632751464844,7.0,7.0,7.0,7.0,1000
1986-09-05,2.5487632751464844,7.0,7.75,7.0,7.0,3400
1986-09-08,2.685304641723633,7.375,7.375,7.0,7.0,3500
1986-09-09,2.5487632751464844,7.0,7.375,7.0,7.375,4100
1986-09-10,2.5487632751464844,7.0,7.75,7.0,7.0,30000
1986-09-11,2.5487632751464844,7.0,7.75,7.0,7.0,900
1986-09-12,2.457736730575561,6.75,7.0,6.5,7.0,2900
1986-09-15,2.3667092323303223,6.5,6.5,6.5,6.5,2500
1986-09-16,2.275681734085083,6.25,6.5,6.0,6.5,2600
1986-09-17,2.1846539974212646,6.0,6.0,5.5,6.0,1500
1986-09-18,2.093627452850342,5.75,6.5,5.75,6.0,600
1986-09-19,2.5487632751464844,7.0,7.0,5.75,5.75,12900
