Date,Adj Close,Close,High,Low,Open,Volume
1999-11-30,16.928747177124023,25.1875,25.9375,25.1875,25.25,218800
1999-12-01,15.794564247131348,23.5,25.1875,23.25,25.1875,818400
1999-12-02,16.256633758544922,24.1875,24.375,23.75,24.25,341100
1999-12-03,16.59269142150879,24.6875,24.875,24.3125,24.875,425600
1999-12-06,16.59269142150879,24.6875,24.6875,24.25,24.3125,319400
1999-12-07,15.920581817626951,23.6875,24.3125,23.5625,24.3125,419900
1999-12-08,15.416501998901367,22.9375,23.875,22.9375,23.8125,563100
1999-12-09,15.2484769821167,22.6875,23.25,22.625,23.1875,411100
1999-12-10,15.29047679901123,22.75,22.75,22.1875,22.1875,559800
1999-12-13,14.954425811767578,22.25,22.625,21.9375,22.375,337900
1999-12-14,14.53435516357422,21.625,22.125,21.375,22.125,524700
1999-12-15,14.198307037353516,21.125,21.75,20.625,20.875,1119200
1999-12-16,14.576364517211914,21.6875,21.6875,20.4375,21.125,2292800
1999-12-17,14.74439525604248,21.9375,22.0625,21.5,21.6875,681800
1999-12-20,14.492351531982422,21.5625,21.875,21.1875,21.75,639700
1999-12-21,13.652209281921388,20.3125,21.5625,20.3125,21.5,423700
1999-12-22,13.946261405944824,20.75,21.0,20.25,20.375,313100
1999-12-23,14.156289100646973,21.0625,21.125,20.875,20.875,323400
1999-12-27,13.73622989654541,20.4375,21.25,20.4375,21.1875,248100
1999-12-28,14.282313346862791,21.25,21.3125,20.375,20.375,235900
1999-12-29,14.786398887634276,22.0,22.0625,21.125,21.125,160500
1999-12-30,14.786398887634276,22.0,22.6875,21.875,21.875,307800
1999-12-31,15.080448150634766,22.4375,22.5,22.0,22.25,100000
2000-01-03,14.912416458129885,22.1875,22.5,22.125,22.3125,401800
2000-01-04,15.37449836730957,22.875,23.5625,22.3125,22.4375,572100
2000-01-05,15.878576278686523,23.625,23.75,22.75,22.875,452800
2000-01-06,15.794564247131348,23.5,23.6875,23.375,23.5,506100
2000-01-07,15.794564247131348,23.5,23.75,23.3125,23.4375,197800
2000-01-10,15.668538093566896,23.3125,23.75,23.1875,23.4375,334100
2000-01-11,15.33248519897461,22.8125,23.0625,22.8125,23.0,393900
2000-01-12,15.33248519897461,22.8125,22.9375,22.625,22.9375,391400
2000-01-13,15.33248519897461,22.8125,23.125,22.6875,23.0,373300
2000-01-14,15.752554893493652,23.4375,23.5,22.5625,22.5625,521100
2000-01-18,15.71055030822754,23.375,23.4375,22.5,23.0625,345600
2000-01-19,15.29047679901123,22.75,23.3125,22.75,23.25,236300
2000-01-20,15.122448921203612,22.5,23.0,22.5,22.75,384500
2000-01-21,14.82840347290039,22.0625,22.875,22.0625,22.875,358100
2000-01-24,14.45034408569336,21.5,22.75,21.4375,22.75,207700
2000-01-25,14.53435516357422,21.625,21.625,21.1875,21.375,375800
