Date,Adj Close,Close,High,Low,Open,Volume
1973-02-22,1.6373594999313354,10.4375,10.5,10.375,0.0,5600
1973-02-23,1.64716374874115,10.5,10.5625,10.4375,0.0,1800
1973-02-26,1.64716374874115,10.5,10.5625,10.4375,0.0,7200
1973-02-27,1.64716374874115,10.5,10.5,10.5,0.0,2400
1973-02-28,1.64716374874115,10.5,10.5,10.4375,0.0,2000
1973-03-01,1.6275558471679688,10.375,10.5,10.375,0.0,5600
1973-03-02,1.6373594999313354,10.4375,10.5,10.375,0.0,3200
1973-03-05,1.6275558471679688,10.375,10.5,10.375,0.0,4000
1973-03-06,1.6373594999313354,10.4375,10.5,10.4375,0.0,5200
1973-03-07,1.64716374874115,10.5,10.5,10.4375,0.0,3800
1973-03-08,1.6373594999313354,10.4375,10.5,10.375,0.0,9200
1973-03-09,1.6275558471679688,10.375,10.5,10.375,0.0,5400
1973-03-12,1.6373594999313354,10.4375,10.5,10.375,0.0,3200
1973-03-13,1.6275558471679688,10.375,10.5,10.375,0.0,5400
1973-03-14,1.6275558471679688,10.375,10.5,10.3125,0.0,5600
1973-03-15,1.6275558471679688,10.375,10.5,10.375,0.0,4400
1973-03-16,1.6275558471679688,10.375,10.4375,10.25,0.0,48000
1973-03-19,1.6177504062652588,10.3125,10.4375,10.3125,0.0,5400
1973-03-20,1.6177504062652588,10.3125,10.4375,10.25,0.0,6000
1973-03-21,1.6177504062652588,10.3125,10.3125,10.25,0.0,6800
1973-03-22,1.6373594999313354,10.4375,10.4375,10.25,0.0,4800
1973-03-23,1.6177504062652588,10.3125,10.375,10.25,0.0,2400
1973-03-26,1.607945442199707,10.25,10.375,10.25,0.0,4400
1973-03-27,1.6275558471679688,10.375,10.375,10.25,0.0,3000
1973-03-28,1.6275558471679688,10.375,10.375,10.3125,0.0,2600
1973-03-29,1.6275558471679688,10.375,10.375,10.3125,0.0,2000
1973-03-30,1.6275558471679688,10.375,10.375,10.25,0.0,2400
1973-04-02,1.6275558471679688,10.375,10.375,10.25,0.0,6400
1973-04-03,1.6373594999313354,10.4375,10.4375,10.3125,0.0,4400
1973-04-04,1.64716374874115,10.5,10.5,10.375,0.0,3400
1973-04-05,1.64716374874115,10.5,10.5,10.4375,0.0,3000
1973-04-06,1.64716374874115,10.5,10.5625,10.375,0.0,5600
1973-04-09,1.64716374874115,10.5,10.5,10.375,0.0,3800
1973-04-10,1.6667728424072266,10.625,10.625,10.5,0.0,5200
1973-04-11,1.65696918964386,10.5625,10.75,10.5625,0.0,2800
1973-04-12,1.65696918964386,10.5625,10.6875,10.5,0.0,1800
1973-04-13,1.64716374874115,10.5,10.625,10.5,0.0,3200
1973-04-16,1.64716374874115,10.5,10.5,10.4375,0.0,1600
1973-04-17,1.64716374874115,10.5,10.5,10.375,0.0,2200
1973-04-18,1.64716374874115,10.5,10.5625,10.4375,0.0,5400
