Date,Adj Close,Close,High,Low,Open,Volume
1973-02-22,1.5477694272994995,4.640625,4.640625,4.640625,4.640625,47200
1973-02-23,1.5425591468811035,4.625,4.625,4.625,4.625,133600
1973-02-26,1.5425591468811035,4.625,4.625,4.625,4.625,24000
1973-02-27,1.5425591468811035,4.625,4.625,4.625,4.625,41600
1973-02-28,1.5425591468811035,4.625,4.625,4.625,4.625,66400
1973-03-01,1.552980899810791,4.65625,4.65625,4.65625,4.65625,93600
1973-03-02,1.5581923723220823,4.671875,4.671875,4.671875,4.671875,26400
1973-03-05,1.5790382623672483,4.734375,4.734375,4.734375,4.734375,68000
1973-03-06,1.6259406805038452,4.875,4.875,4.875,4.875,76800
1973-03-07,1.6259406805038452,4.875,4.875,4.875,4.875,51200
1973-03-08,1.6363630294799805,4.90625,4.90625,4.90625,4.90625,84800
1973-03-09,1.6363630294799805,4.90625,4.90625,4.90625,4.90625,78400
1973-03-12,1.631151795387268,4.890625,4.890625,4.890625,4.890625,73600
1973-03-13,1.6363630294799805,4.90625,4.90625,4.90625,4.90625,47200
1973-03-14,1.641573190689087,4.921875,4.921875,4.921875,4.921875,50400
1973-03-15,1.6363630294799805,4.90625,4.90625,4.90625,4.90625,70400
1973-03-16,1.631151795387268,4.890625,4.890625,4.890625,4.890625,44800
1973-03-19,1.6155177354812622,4.84375,4.84375,4.84375,4.84375,28000
1973-03-20,1.5842490196228027,4.75,4.75,4.75,4.75,68800
1973-03-21,1.5634032487869265,4.6875,4.6875,4.6875,4.6875,94400
1973-03-22,1.5373480319976809,4.609375,4.609375,4.609375,4.609375,55200
1973-03-23,1.5373480319976809,4.609375,4.609375,4.609375,4.609375,117600
1973-03-26,1.5321367979049685,4.59375,4.59375,4.59375,4.59375,9600
1973-03-27,1.5321367979049685,4.59375,4.59375,4.59375,4.59375,15200
1973-03-28,1.552980899810791,4.65625,4.65625,4.65625,4.65625,141600
1973-03-29,1.573826789855957,4.71875,4.71875,4.71875,4.71875,120000
1973-03-30,1.573826789855957,4.71875,4.71875,4.71875,4.71875,85600
1973-04-02,1.5634032487869265,4.6875,4.6875,4.6875,4.6875,52800
1973-04-03,1.552980899810791,4.65625,4.65625,4.65625,4.65625,23200
1973-04-04,1.5425591468811035,4.625,4.625,4.625,4.625,78400
1973-04-05,1.5373480319976809,4.609375,4.609375,4.609375,4.609375,78400
1973-04-06,1.5373480319976809,4.609375,4.609375,4.609375,4.609375,36000
1973-04-09,1.5373480319976809,4.609375,4.609375,4.609375,4.609375,28000
1973-04-10,1.573826789855957,4.71875,4.71875,4.71875,4.71875,88800
1973-04-11,1.5842490196228027,4.75,4.75,4.75,4.75,144000
1973-04-12,1.605094075202942,4.8125,4.8125,4.8125,4.8125,140800
1973-04-13,1.605094075202942,4.8125,4.8125,4.8125,4.8125,13600
1973-04-16,1.605094075202942,4.8125,4.8125,4.8125,4.8125,40000
1973-04-17,1.5634032487869265,4.6875,4.6875,4.6875,4.6875,92800
1973-04-18,1.5581923723220823,4.671875,4.671875,4.671875,4.671875,25600
1973-04-19,1.5634032487869265,4.6875,4.6875,4.6875,4.6875,39200
1973-04-23,1.5425591468811035,4.625,4.625,4.625,4.625,48000
1973-04-24,1.5321367979049685,4.59375,4.59375,4.59375,4.59375,134400
1973-04-25,1.521713137626648,4.5625,4.5625,4.5625,4.5625,59200
1973-04-26,1.521713137626648,4.5625,4.5625,4.5625,4.5625,33600
1973-04-27,1.51129150390625,4.53125,4.53125,4.53125,4.53125,36800
1973-04-30,1.4904451370239258,4.46875,4.46875,4.46875,4.46875,91200
1973-05-01,1.4800231456756592,4.4375,4.4375,4.4375,4.4375,295200
1973-05-02,1.4852337837219238,4.453125,4.453125,4.453125,4.453125,61600
1973-05-03,1.4800231456756592,4.4375,4.5,4.4375,0.0,56000
1973-05-04,1.495656132698059,4.484375,4.546875,4.484375,0.0,43200
1973-05-07,1.50086772441864,4.5,4.5625,4.5,0.0,42400
1973-05-08,1.506080150604248,4.515625,4.578125,4.515625,0.0,28800
1973-05-09,1.5477694272994995,4.640625,4.703125,4.640625,0.0,58400
1973-05-10,1.5842490196228027,4.75,4.8125,4.75,0.0,70400
1973-05-11,1.589461326599121,4.765625,4.828125,4.765625,0.0,26400
1973-05-14,1.5321367979049685,4.59375,4.65625,4.59375,0.0,151200
1973-05-15,1.5269252061843872,4.578125,4.640625,4.578125,0.0,163200
1973-05-16,1.5581923723220823,4.671875,4.734375,4.671875,0.0,75200
