Date,Adj Close,Close,High,Low,Open,Volume
2000-02-14,220.90289306640625,270.0,282.5,267.5,282.5,42310
2000-02-15,214.76675415039065,262.5,271.25,260.0,270.0,30125
2000-02-16,217.83474731445312,266.25,280.0,262.5,262.5,9115
2000-02-17,212.7212677001953,260.0,280.0,260.0,266.25,15040
2000-02-18,198.40353393554688,242.5,262.5,238.75,260.0,13635
2000-02-22,194.312744140625,237.5,245.0,235.0,242.5,22575
2000-02-23,209.65321350097656,256.25,260.0,237.5,237.5,9050
2000-02-24,206.5850830078125,252.5,270.0,250.0,257.5,3720
2000-02-25,212.7212677001953,260.0,261.25,245.0,252.5,7570
2000-02-28,200.4488983154297,245.0,260.0,245.0,260.0,8130
2000-02-29,196.358154296875,240.0,248.75,240.0,245.0,7640
2000-03-01,197.38079833984372,241.25,255.0,237.5,255.0,5615
2000-03-02,210.6759033203125,257.5,272.5,240.0,241.875,6030
2000-03-03,203.5170440673828,248.75,267.5,245.0,267.5,3655
2000-03-06,215.7893829345703,263.75,265.0,245.0,245.0,2985
2000-03-07,210.6759033203125,257.5,272.5,255.0,261.25,3220
2000-03-08,204.53976440429688,250.0,272.5,242.5,272.5,5595
2000-03-09,206.5850830078125,252.5,260.0,247.5,260.0,1535
2000-03-10,200.4488983154297,245.0,250.0,245.0,247.5,1560
2000-03-13,199.4262237548828,243.75,248.75,240.0,247.5,1850
2000-03-14,198.40353393554688,242.5,250.0,235.0,245.0,2960
2000-03-15,190.2219390869141,232.5,242.5,231.25,236.25,7680
2000-03-16,179.9949188232422,220.0,237.5,220.0,232.5,20140
2000-03-17,188.17654418945312,230.0,235.0,227.5,227.5,17340
2000-03-20,200.4488983154297,245.0,245.0,227.5,228.75,2175
2000-03-21,194.312744140625,237.5,246.25,237.5,242.5,1530
2000-03-22,194.312744140625,237.5,242.5,237.5,242.5,2265
2000-03-23,204.53976440429688,250.0,253.75,237.5,237.5,7365
2000-03-24,198.40353393554688,242.5,250.0,230.0,245.0,4385
2000-03-27,191.2446136474609,233.75,242.5,233.75,242.5,1700
2000-03-28,192.267333984375,235.0,242.5,233.75,233.75,4105
2000-03-29,179.9949188232422,220.0,235.0,220.0,233.75,5255
2000-03-30,172.83607482910156,211.25,231.25,200.0,220.0,74740
2000-03-31,151.35939025878906,185.0,210.0,162.5,200.0,21785
2000-04-03,169.7679901123047,207.5,217.5,183.75,185.0,2315
2000-04-04,147.2686309814453,180.0,220.0,180.0,207.5,3575
2000-04-05,144.2005157470703,176.25,192.5,175.0,180.0,735
2000-04-06,143.1777801513672,175.0,182.5,172.5,176.25,2070
2000-04-07,148.291259765625,181.25,187.5,175.0,175.0,595
2000-04-10,149.31402587890625,182.5,182.5,180.0,180.0,890
2000-04-11,139.08697509765625,170.0,180.0,167.5,180.0,950
2000-04-12,139.08697509765625,170.0,173.75,167.5,167.5,3645
2000-04-13,145.2231903076172,177.5,191.25,170.0,170.0,4805
2000-04-14,126.81460571289062,155.0,180.0,155.0,180.0,12290
2000-04-17,130.90542602539062,160.0,165.0,160.0,161.25,4685
2000-04-18,130.90542602539062,160.0,163.75,160.0,163.75,2905
2000-04-19,131.92813110351562,161.25,167.5,158.75,162.5,14120
2000-04-20,134.99620056152344,165.0,165.0,157.5,161.25,81325
2000-04-24,132.9508056640625,162.5,171.25,160.0,162.5,7085
2000-04-25,141.13238525390625,172.5,180.0,162.5,162.5,960
2000-04-26,143.1777801513672,175.0,182.5,172.5,180.0,1135
2000-04-27,143.1777801513672,175.0,181.875,170.0,181.875,645
2000-04-28,147.2686309814453,180.0,190.0,170.0,170.0,450
2000-05-01,149.31402587890625,182.5,185.0,175.0,185.0,1665
2000-05-02,162.60910034179688,198.75,200.0,182.5,182.5,3670
2000-05-03,159.5409393310547,195.0,197.5,192.5,197.5,7345
2000-05-04,158.51828002929688,193.75,201.25,190.0,201.25,4855
2000-05-05,176.92681884765625,216.25,217.5,192.5,192.5,1360
2000-05-08,182.0403594970703,222.5,230.0,210.0,210.0,495
2000-05-09,179.9949188232422,220.0,230.0,215.0,225.0,815
