Date,Adj Close,Close,High,Low,Open,Volume
1992-03-02,0.500676155090332,10.5,10.5,10.375,10.375,144500
1992-03-03,0.500676155090332,10.5,10.625,10.5,10.625,21800
1992-03-04,0.500676155090332,10.5,10.75,10.375,10.5,163800
1992-03-05,0.4947154223918915,10.375,10.5,10.375,10.5,19800
1992-03-06,0.4947154223918915,10.375,10.375,10.375,10.375,22400
1992-03-09,0.500676155090332,10.5,10.5,10.5,10.5,2300
1992-03-10,0.500676155090332,10.5,10.5,10.0,10.375,19300
1992-03-11,0.500676155090332,10.5,10.5,10.375,10.5,92800
1992-03-12,0.500676155090332,10.5,10.5,10.375,10.5,19500
1992-03-13,0.500676155090332,10.5,10.5,10.5,10.5,9000
1992-03-16,0.500676155090332,10.5,10.625,10.5,10.5,10000
1992-03-17,0.500676155090332,10.5,10.5,10.375,10.5,8600
1992-03-18,0.500676155090332,10.5,10.5,10.5,10.5,1000
1992-03-19,0.4947154223918915,10.375,10.375,10.375,10.375,16500
1992-03-20,0.4947154223918915,10.375,10.5,10.375,10.5,14200
1992-03-23,0.500676155090332,10.5,10.5,10.5,10.5,3100
1992-03-24,0.5125967860221863,10.75,10.75,10.375,10.5,38400
1992-03-25,0.5075803995132446,10.625,10.75,10.625,10.625,6400
1992-03-26,0.5135520100593567,10.75,11.0,10.75,10.875,55000
1992-03-27,0.5075803995132446,10.625,10.875,10.5,10.875,23200
1992-03-30,0.5195235013961792,10.875,10.875,10.5,10.5,7200
1992-03-31,0.5195235013961792,10.875,10.875,10.75,10.875,9700
1992-04-01,0.5135520100593567,10.75,10.875,10.75,10.875,6600
1992-04-02,0.5135520100593567,10.75,10.75,10.75,10.75,5600
1992-04-03,0.5135520100593567,10.75,10.75,10.625,10.625,9200
1992-04-06,0.5195235013961792,10.875,10.875,10.75,10.75,7400
1992-04-07,0.5135520100593567,10.75,11.0,10.75,11.0,7700
1992-04-08,0.5195235013961792,10.875,10.875,10.75,10.75,40100
1992-04-09,0.5195235013961792,10.875,11.0,10.875,11.0,18600
1992-04-10,0.5254950523376465,11.0,11.0,11.0,11.0,4200
1992-04-13,0.5135520100593567,10.75,11.0,10.75,11.0,2100
1992-04-14,0.5135520100593567,10.75,10.75,10.75,10.75,3100
1992-04-15,0.5016091465950012,10.5,10.75,10.5,10.75,14600
1992-04-16,0.5016091465950012,10.5,10.5,10.5,10.5,0
1992-04-20,0.5075803995132446,10.625,10.625,10.625,10.625,1000
1992-04-21,0.5135520100593567,10.75,10.75,10.625,10.625,6100
1992-04-22,0.5135520100593567,10.75,10.75,10.625,10.625,1800
1992-04-23,0.5075803995132446,10.625,10.625,10.5,10.625,10400
1992-04-24,0.5142911076545715,10.5,10.5,10.5,10.5,4900
1992-04-27,0.5142911076545715,10.5,10.5,10.375,10.375,1200
1992-04-28,0.5142911076545715,10.5,10.5,10.5,10.5,0
1992-04-29,0.5265358686447144,10.75,10.75,10.75,10.75,1800
1992-04-30,0.5265358686447144,10.75,10.75,10.75,10.75,2200
1992-05-01,0.5142911076545715,10.5,10.625,10.5,10.625,4500
1992-05-04,0.5142911076545715,10.5,10.625,10.5,10.625,4500
1992-05-05,0.520413339138031,10.625,10.625,10.5,10.5,11300
1992-05-06,0.5265358686447144,10.75,10.75,10.75,10.75,1000
1992-05-07,0.520413339138031,10.625,10.625,10.5,10.625,3900
1992-05-08,0.5142911076545715,10.5,10.625,10.5,10.625,5200
1992-05-11,0.5081683993339539,10.375,10.5,10.375,10.375,23900
1992-05-12,0.5081683993339539,10.375,10.375,10.375,10.375,20900
1992-05-13,0.5142911076545715,10.5,10.5,10.375,10.5,19400
1992-05-14,0.5142911076545715,10.5,10.625,10.5,10.625,27900
1992-05-15,0.520413339138031,10.625,10.625,10.625,10.625,21600
1992-05-18,0.520413339138031,10.625,10.625,10.625,10.625,1700
1992-05-19,0.5142911076545715,10.5,10.625,10.5,10.625,4900
1992-05-20,0.520413339138031,10.625,10.625,10.625,10.625,20000
1992-05-21,0.520413339138031,10.625,10.75,10.625,10.625,12500
1992-05-22,0.5240134596824646,10.625,10.625,10.625,10.625,200
1992-05-26,0.5363432765007019,10.875,11.0,10.75,10.75,26400
1992-05-27,0.5363432765007019,10.875,10.875,10.625,10.625,5400
1992-05-28,0.5425081253051758,11.0,11.0,11.0,11.0,2500
1992-05-29,0.5486729145050049,11.125,11.125,11.125,11.125,7800
1992-06-01,0.5486729145050049,11.125,11.125,11.125,11.125,3200
1992-06-02,0.5486729145050049,11.125,11.25,11.125,11.125,9600
1992-06-03,0.5548375844955444,11.25,11.25,11.125,11.125,4400
1992-06-04,0.5548375844955444,11.25,11.25,11.125,11.125,2500
1992-06-05,0.5486729145050049,11.125,11.25,11.125,11.25,900
1992-06-08,0.5486729145050049,11.125,11.125,11.0,11.125,12000
1992-06-09,0.5486729145050049,11.125,11.125,11.125,11.125,1400
1992-06-10,0.5425081253051758,11.0,11.125,11.0,11.125,21000
1992-06-11,0.5425081253051758,11.0,11.0,11.0,11.0,8000
